timestamp,state,sensorUpdateStatus,gps_lat,gps_lon,gps_alt,gps_hour,gps_minute,gps_second,gyroX,gyroY,gyroZ,accX,accY,accZ,accTemp,baro_alt,baro_temp,baro_pressure,kalman_alt,kalman_vel,magX,magY,magZ,gas_temp,gas_pressure,gas_humidity,gas_resistance,faultStatus
0,0,0,0.000000,0.000000,0.000000,14,50,55,0.14,-0.07,-0.04,112.81,1.72,-2.34,18.75,216.62,19.94,8.66,8.04,3.29,-3460,-695,1475,0.00,0.00,0.00,0.00,
89110678,0,29,0.000000,0.000000,0.000000,14,50,55,0.12,-0.07,-0.06,112.95,1.78,-2.64,18.75,213.19,20.12,8.53,8.24,3.36,-3510,-740,1495,0.00,0.00,0.00,0.00,
89114930,0,13,0.000000,0.000000,0.000000,14,50,55,0.12,-0.07,-0.07,113.11,1.96,-2.64,18.75,213.19,20.12,8.53,8.24,3.36,-3500,-695,10628,-50605424.00,0.00,0.00,-506.73,
0,0,0,0.000000,0.000000,0.000000,14,50,55,0.10,-0.06,-0.08,113.18,2.08,-2.66,18.75,217.75,19.87,8.71,8.52,3.45,-3537,-675,1475,0.00,0.00,0.00,0.00,
89123264,0,8,0.000000,0.000000,0.000000,14,50,55,0.09,-0.05,-0.08,113.18,2.08,-2.66,18.75,217.75,19.87,8.71,8.52,3.45,-3537,-675,1475,0.00,0.00,0.00,0.00,
89123899,0,4,0.000000,0.000000,0.000000,14,50,55,0.09,-0.05,-0.08,113.47,2.16,-2.37,18.75,217.75,19.87,0.00,-0.00,-1.2147483647,67,-24576,26177,0.00,--1.2147483647,-1.2147483647,-0.00,
0,0,0,0.000000,0.000000,0.000000,14,50,55,0.09,-0.05,-0.08,113.47,2.16,-2.37,18.75,217.75,19.87,8.71,8.52,3.45,-3495,-675,1447,0.00,0.00,0.00,0.00,
89130756,0,29,0.000000,0.000000,0.000000,14,50,55,0.08,-0.04,-0.09,113.14,2.05,-2.31,18.75,217.81,20.00,8.71,8.75,3.53,-3500,-695,1442,0.00,0.00,0.00,0.00,
89133224,0,8,0.000000,0.000000,0.000000,14,50,55,0.06,-0.05,-0.09,113.14,524.06,0.00,--1.2147483647,--1.2147483647,--1.2147483647,0.00,-0.00,-1.2147483647,67,-24704,2625,-1.2147483647,-0.00,192.40,-0.00,
0,0,0,0.000000,0.000000,0.000000,14,50,55,0.06,-0.05,-0.09,112.74,1.90,-2.26,18.75,220.06,19.94,8.80,9.04,3.62,-3552,-685,1427,0.00,0.00,0.00,0.00,
89138203,0,8,0.000000,0.000000,0.000000,14,50,55,0.05,-0.04,-0.10,112.74,1.90,-2.26,18.75,220.06,19.94,8.80,9.04,3.62,-3552,-685,1427,0.00,0.00,0.00,0.00,
89139988,0,5,0.000000,0.000000,0.000000,14,50,55,0.00,0.00,0.00,0.00,-376961.72,-0.00,--1.2147483647,--1.2147483647,--1.2147483647,0.00,-0.00,-1.2147483647,67,-24832,-23487,0.00,-1.2147483647,-1.2147483647,-1.2147483647,
0,0,0,0.000000,0.000000,0.000000,14,50,55,0.03,-0.03,-0.12,112.79,1.70,-2.59,18.75,220.06,19.94,8.80,9.04,3.62,-3517,-670,1417,0.00,0.00,0.00,0.00,
89145749,0,21,0.000000,0.000000,0.000000,14,50,55,0.03,-0.03,-0.12,112.69,1.85,-2.68,18.75,221.00,19.87,8.84,9.28,3.70,-3485,-655,1370,0.00,0.00,0.00,0.00,
89148164,0,8,0.000000,0.000000,--1.2147483647,255,255,255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,-1,0.00,0.00,0.00,0.00,
89148670,0,4,0.000000,0.000000,0.000000,14,50,55,0.02,-0.02,-0.12,112.75,1.95,-2.54,18.75,221.00,19.87,8.84,9.28,3.70,-3485,-655,1370,0.00,0.00,0.00,0.00,
89149821,0,1,0.000000,0.000000,0.000000,14,50,55,0.02,-0.02,-0.12,112.75,1.95,-2.54,18.75,221.00,19.87,8.84,9.28,3.70,-3485,-675,1447,0.00,--1.2147483647,192.45,-0.00,
0,0,0,0.000000,0.000000,0.000000,14,50,55,0.02,-0.02,-0.13,112.75,1.95,-2.54,18.75,221.00,19.87,8.84,9.28,3.70,-3485,-675,1447,0.00,0.00,0.00,0.00,
89155926,0,21,0.000000,0.000000,0.000000,14,50,55,0.02,-0.02,-0.13,112.60,1.97,-2.31,18.75,223.56,19.87,8.94,9.61,3.80,-3517,-665,1417,0.00,0.00,0.00,0.00,
89158125,0,8,0.000000,0.000000,0.000000,14,50,55,-0.01,-0.01,-0.14,112.60,1.97,-2.31,18.75,223.56,19.87,8.94,-0.00,-1.2147483647,67,-24832,5185,0.00,-809988608.00,-1.2147483647,-1.2147483647,
0,0,0,0.000000,0.000000,0.000000,14,50,55,-0.01,-0.01,-0.14,112.92,1.88,-2.33,18.75,222.94,19.87,8.92,9.86,3.89,-3470,-640,1375,0.00,0.00,0.00,0.00,
89163105,0,8,0.000000,0.000000,0.000000,14,50,55,-0.01,-0.01,-0.14,112.92,1.88,-2.33,18.75,222.94,19.87,8.92,9.86,3.89,-3470,-640,1375,0.00,0.00,0.00,0.00,
89164889,0,5,0.000000,0.000000,0.000000,14,50,55,-0.01,-0.01,-0.14,112.93,2.00,-2.56,0.00,--1.2147483647,0.00,0.00,-0.00,-1.2147483647,67,-24960,-28863,0.00,0.00,197116.41,-1.2147483647,
0,0,0,0.000000,0.000000,0.000000,14,50,55,-0.04,-0.01,-0.15,112.93,2.00,-2.56,18.75,222.94,19.87,8.92,9.86,3.89,-3490,-685,1390,0.00,0.00,0.00,0.00,
89168591,0,4,0.000000,0.000000,0.000000,14,50,55,-0.04,-0.01,-0.15,112.40,2.00,-2.80,18.75,222.94,19.87,8.92,9.86,3.89,-3490,-685,1390,0.00,0.00,0.00,0.00,
89170936,0,19,0.000000,0.000000,0.000000,14,50,56,-0.04,-0.01,0.00,0.00,-0.00,1.98,0.00,--1.2147483647,0.00,0.00,-0.00,-1.2147483647,67,-24960,-28863,0.00,0.00,-1065412096.00,-0.00,
0,0,0,0.000000,0.000000,0.000000,14,50,56,-0.06,0.01,-0.15,112.28,2.17,-2.69,18.75,224.62,19.81,8.98,10.18,3.99,-3512,-665,1385,0.00,0.00,0.00,0.00,
89174911,0,1,0.000000,0.000000,0.000000,14,50,56,-0.06,0.01,-0.15,112.28,2.17,-2.69,18.75,224.62,19.81,8.98,10.18,3.99,-3505,-650,1432,0.00,0.00,0.00,0.00,
89178470,0,12,0.000000,0.000000,--1.2147483647,255,255,255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,-1,0.00,0.00,0.00,0.00,
89179391,0,17,0.000000,0.000000,0.000000,14,50,56,-0.07,0.01,-0.15,112.17,2.08,-2.32,18.75,225.94,19.87,9.04,10.45,4.08,-3480,-660,1455,0.00,0.00,0.00,0.00,
89183402,0,12,0.000000,0.000000,0.000000,14,50,56,-0.09,0.03,-0.15,112.07,2.15,-2.23,18.75,225.94,19.87,9.04,10.45,4.08,-3480,-660,1455,0.00,0.00,0.00,-1.2147483647,
0,0,0,0.000000,0.000000,0.000000,14,50,56,-0.09,0.03,-0.15,112.07,2.15,-2.23,18.75,225.94,19.87,9.04,10.45,4.08,-3505,-637,1417,0.00,0.00,0.00,0.00,
89188340,0,12,0.000000,0.000000,0.000000,14,50,56,-0.11,0.02,-0.15,111.77,2.08,-2.33,18.75,225.94,19.87,9.04,10.45,4.08,-3505,-637,1417,0.00,0.00,0.00,0.00,
89189264,0,17,0.000000,0.000000,0.000000,14,50,56,-0.11,0.02,-0.15,111.77,2.08,-2.33,18.75,226.50,19.94,9.06,10.79,4.18,67,-24704,-15551,-809778496.00,-3090.79,192.52,-0.00,
0,0,0,0.000000,0.000000,0.000000,14,50,56,-0.13,0.02,-0.15,111.62,2.05,-2.62,18.75,226.50,19.94,9.06,10.79,4.18,-3532,-650,1397,0.00,0.00,0.00,0.00,
89193787,0,1,0.000000,0.000000,0.000000,14,50,56,-0.13,0.02,-0.15,111.62,2.05,-2.62,18.75,226.50,19.94,9.06,10.79,4.18,-3517,-637,1455,0.00,0.00,0.00,0.00,
89198211,0,12,0.000000,0.000000,0.000000,14,50,56,-0.14,0.05,-0.15,111.49,2.04,-2.68,18.75,--1.2147483647,0.00,0.00,-0.00,-1.2147483647,67,-24576,15681,-193.06,-0.00,-0.00,-1.2147483647,
0,0,0,0.000000,0.000000,0.000000,14,50,56,-0.14,0.05,-0.15,111.49,2.04,-2.68,18.75,225.06,20.00,9.00,11.10,4.28,-3485,-627,1460,0.00,0.00,0.00,0.00,
89203151,0,12,0.000000,0.000000,0.000000,14,50,56,-0.17,0.04,-0.15,111.60,2.03,-2.44,18.75,225.06,20.00,9.00,11.10,4.28,-3485,-627,1460,0.00,0.00,0.00,0.00,
89203656,0,1,0.000000,0.000000,0.000000,14,50,56,-0.17,0.04,-0.15,0.00,722963968.00,-1.2147483647,0.00,--1.2147483647,0.00,0.00,-0.00,-1.2147483647,67,-24832,-31423,0.00,-0.00,-1.2147483647,-0.00,
0,0,0,0.000000,0.000000,0.000000,14,50,56,-0.19,0.06,-0.15,111.58,2.12,-2.31,18.75,225.06,20.00,9.00,11.10,4.28,-3405,-607,1370,0.00,0.00,0.00,0.00,
89209073,0,17,0.000000,0.000000,0.000000,14,50,56,-0.19,0.06,-0.15,111.58,2.12,-2.31,18.75,229.56,19.87,9.18,11.38,4.38,-3470,-577,1455,0.00,0.00,0.00,0.00,
89213023,0,12,0.000000,0.000000,0.000000,17,40,96,0.00,0.00,0.00,0.00,-1.2147483647,-1.2147483647,0.00,--1.2147483647,0.00,0.00,-0.00,-1.2147483647,67,-24960,13121,-1.2147483647,--1.2147483647,-1.2147483647,-0.00,
0,0,0,0.000000,0.000000,0.000000,14,50,56,-0.20,0.05,-0.15,111.49,2.16,-2.34,18.75,229.56,19.87,9.18,11.38,4.38,-3430,-607,1442,0.00,0.00,0.00,0.00,
89217960,0,12,0.000000,0.000000,0.000000,14,50,56,-0.22,0.05,-0.14,111.59,2.10,-2.42,18.75,229.56,19.87,9.18,11.38,4.38,-3430,-607,1442,0.00,0.00,0.00,0.00,
0,0,0,0.000000,0.000000,--1.2147483647,255,255,255,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,-1,-1,0.00,0.00,0.00,0.00,
89222893,0,12,0.000000,0.000000,0.000000,14,50,56,-0.24,0.06,-0.15,111.75,2.03,-2.64,18.75,231.56,19.81,9.26,11.76,4.49,-3480,-597,1422,0.00,0.00,0.00,0.00,
89225089,0,1,0.000000,0.000000,0.000000,14,50,56,-0.24,0.06,-0.15,111.75,2.03,-2.64,18.75,231.56,19.81,9.26,11.76,4.49,-3485,-640,1422,0.00,-0.00,0.19,-0.00,
0,0,0,0.000000,0.000000,0.000000,14,50,56,-0.26,0.07,-0.14,111.73,2.03,-2.59,18.75,231.56,19.81,9.26,11.76,4.49,-3485,-640,1422,0.00,0.00,0.00,0.00,
89229150,0,17,0.000000,0.000000,0.000000,14,50,56,-0.26,0.07,-0.14,111.73,2.03,-2.59,18.75,231.94,19.87,9.28,12.05,4.60,-3522,-637,1455,0.00,0.00,0.00,0.00,
